total_score,technology_score,experience_score,company_score,role_score,match_level,required_skills,preferred_skills,technologies_mentioned,experience_requirement,location,remote_friendly,company_type,application_recommendation,reasoning,skill_gaps,growth_potential,job_title,company_name,job_url,processed_at,should_apply,fallback_used
72,37.0,10,15,10.0,good,"['Python', 'SQL', 'AWS S3', 'AWS EC2', 'ETL Development', 'Data Validation', 'Schema Design']","['Apache Airflow', 'Great Expectations', 'AWS Lambda', 'PostgreSQL', 'RDBMS', 'CI/CD Pipelines']","['Hive', 'Cloudera', 'Python', 'Data Analysis', 'Scala', 'Oozie', 'Airflow', 'Data Warehousing']",1-4 years,"Bengaluru, Pune, Mumbai, Kolkata, New Delhi, Hyderabad, Chennai",True,service,recommend,"Kaustubh possesses a strong foundation in core data engineering skills and experience aligning well with the job description.  His 2 years of experience at Eli Lilly is valuable. The experience requirement (1-4 years) is a good match, scoring 10 points. The location flexibility (Bangalore preferred, but remote/hybrid options available) adds to the appeal, earning 15 points in the company score. His core skills cover many requirements, particularly in Python, SQL, AWS, and ETL processes. However, the technology stack match is only moderate, he scores well on Python, SQL, AWS components, and CI/CD, but lacks experience with some technologies mentioned in the job description like Hive, Cloudera, and Oozie. This results in a technology score of 37. His learning skills demonstrate a proactive approach to skill development.  The role is a perfect match for a Data Engineer, adding 10 points. The overall score of 72 falls within the good match range (60-75) for a candidate with 2 years of experience. While the company is a service company, the remote option compensates somewhat. Applying is recommended, but he should highlight his transferable skills and express enthusiasm for learning any missing technologies during the interview process.","['Hive', 'Cloudera', 'Oozie', 'Hadoop', 'Spark (although learning it)', 'Kafka (although learning it)', 'Snowflake (although learning it)', 'Databricks (although learning it)']",medium,Data Engineer,Netlink Software Pvt Ltd is looking for Data Engineer to join our dynamic team and emba...,,1753032944.423051,True,
72,37.0,10,15,10.0,good,"['Python', 'SQL', 'Apache Airflow', 'AWS S3', 'AWS EC2', 'ETL Development', 'Data Validation', 'Schema Design']","['DBT', 'Spark', 'Kafka', 'AWS Lambda', 'Great Expectations', 'Kubernetes', 'CI/CD Pipelines']","['Python', 'SQL', 'Bash', 'Apache Airflow', 'Jenkins', 'Great Expectations', 'PostgreSQL', 'MySQL', 'Oracle DB', 'AWS S3', 'AWS EC2', 'AWS Lambda', 'AWS CloudWatch', 'AWS Secrets Manager', 'GCP', 'REST APIs', 'JSON', 'XML', 'CI/CD Pipelines', 'Kubernetes', 'Hive', 'Cloudera', 'Data Analysis', 'Scala', 'Oozie', 'Data Warehousing']",1-4 years,"Bengaluru, Pune, Mumbai, Kolkata, New Delhi, Hyderabad, Chennai",True,startup,recommend,"Kaustubh has a good skill set match with the job description, especially in the programming languages (Python, SQL), cloud platforms (AWS), and ETL tools (Airflow, Great Expectations). His experience of 2 years aligns with the job's requirement (1-4 years), placing him in the 'Good Match' category.  The company's remote-friendly policy and being a startup add to its attractiveness. However, the technology score is slightly lower due to missing experience with certain big data technologies (Spark, Kafka) mentioned in the job description and some ETL tools listed as learning skills.  The overall score lands in the good match category making it advisable to apply.","['Spark', 'Kafka', 'DBT', 'Databricks']",medium,Data Engineer,Edgematics,,1753032951.482522,True,
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,"Job Description Alimentation Couche-Tard Inc., (ACT) is a global Fortune 200 comp...",,1753032951.895638,False,True
35,14.0,10,5,3.5,poor,,,,,,,,avoid,Fallback scoring due to API error,,,SQL Developer / Data Engineer,Infidigit,,1753032955.8324053,False,True
35,14.0,10,5,3.5,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Python Data Engineer,Helios Placement Solution,,1753032959.828944,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Uplers,,1753032963.9244435,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Arsr Technologies,,1753032967.8630054,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Fractal Analytics,,1753032971.8529518,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Retailcloud,,1753032975.8523269,False,True
35,14.0,10,5,3.5,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer - Dataiku / Python,InfoCepts,,1753032979.8960931,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,The Lifetime Value Co,,1753032983.802828,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Atlassian,,1753032987.8829017,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,NPS Prism,,1753032991.9245052,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Investcloud,,1753032995.9215703,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Sapaad Software,,1753032999.8285775,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Photon,,1753033003.9229586,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Photon,,1753033007.8527005,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer - Introlligent,Introlligent,,1753033011.8430767,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Photon,,1753033015.8428721,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Nityo Infotech,,1753033019.8837194,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Puresoftware,,1753033032.1128583,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Cognite Data Engineer,EY,,1753033036.1129172,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Tredence,,1753033040.112454,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Live Connections,,1753033044.1527224,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,"Data Engineer (ETL, Go, Databricks)",Instinctools,,1753033048.147442,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,"These include the data lake, operational databases, data pipelines, large-scale batch a...",,1753033052.1428213,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Drivetrain,,1753033056.0875275,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Open Insights,,1753033060.087773,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer - Automotive Research,S&P Global Market Intelligence,,1753033064.0727394,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Miracle Solution,,1753033068.212864,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer - Databricks,Inorg,,1753033072.1030111,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer – Databricks,Inorg,,1753033076.102601,False,True
