file,has_submit_candidates,num_candidates,top_candidates,overlays,iframes,contenteditable,skeleton_loader
debug_submit_fail_20251005_133019.html,True,5,button: | button:Save | button:Apply,.overlay,https://14155760.fls.doubleclick.net/activityi;src=14155760;type=india002;cat=india0;ord=2732034456676;npa=0;auiddc=354166208.1759651002;uaa=x86;uab=64;uafvl=Chromium%3B140.0.7339.186%7CNot%253DA%253FBrand%3B24.0.0.0%7CMicrosoft%2520Edge%3B140.0.3485.81;uamb=0;uam=;uap=Windows;uapv=19.0.0;uaw=0;pscdl=noapi;frm=0;_tu=KFA;gtm=45fe5a11v9176454491z86678154za200zb6678154zd6678154xea;gcd=13l3l3l3l1l1;dma=0;dc_fmt=2;tag_exp=101509157~103116026~103200004~103233427~104527907~104528500~104684208~104684211~104948813~115480709~115834636~115834638~115868795~115868797;epver=2;dc_random=qRt32sEkOHVsuRRP6ASt_Bs7Ny2Ye4bYdA;_dc_test=1;~oref=https%3A%2F%2Fwww.naukri.com%2Fjob-listings-python-developer-persistent-systems-limited-bengaluru-3-to-7-years-171024011437?,div:,True
debug_submit_fail_20251005_133350.html,True,8,button: | button:Save | button:Apply,,https://14155760.fls.doubleclick.net/activityi;src=14155760;type=india002;cat=india0;ord=9822574627824;npa=0;auiddc=354166208.1759651002;uaa=x86;uab=64;uafvl=Chromium%3B140.0.7339.186%7CNot%253DA%253FBrand%3B24.0.0.0%7CMicrosoft%2520Edge%3B140.0.3485.81;uamb=0;uam=;uap=Windows;uapv=19.0.0;uaw=0;pscdl=noapi;frm=0;_tu=KFA;gtm=45fe5a11v9176454491z86678154za200zb6678154zd6678154xea;gcd=13l3l3l3l1l1;dma=0;dc_fmt=2;tag_exp=101509157~103116026~103200004~103233427~104527906~104528500~104684208~104684211~104948813~115480710~115834636~115834638~115868795~115868797;epver=2;dc_random=XcPUrMxqQLw7YVY04z5xBBZOiOfOLSgkxQ;_dc_test=1;~oref=https%3A%2F%2Fwww.naukri.com%2Fjob-listings-python-developer-infovision-inc-bengaluru-3-to-6-years-290925014658?,div:Unable to process this request.,True
debug_submit_fail_20251005_133715.html,True,3,button: | clickable:Submit | disabled_candidate:Submit,,https://14155760.fls.doubleclick.net/activityi;src=14155760;type=india001;cat=india0;ord=2298726422002;npa=0;auiddc=354166208.1759651002;uaa=x86;uab=64;uafvl=Chromium%3B140.0.7339.186%7CNot%253DA%253FBrand%3B24.0.0.0%7CMicrosoft%2520Edge%3B140.0.3485.81;uamb=0;uam=;uap=Windows;uapv=19.0.0;uaw=0;pscdl=noapi;frm=0;_tu=KFA;gtm=45fe5a11v9176454491z86678154za200zb6678154zd6678154xea;gcd=13l3l3l3l1l1;dma=0;dc_fmt=2;tag_exp=101509157~103116026~103200004~103233427~104527907~104528500~104684208~104684211~104948813~115480710~115834636~115834638~115868795~115868797;epver=2;dc_random=HHtbYV_c_DeNebOm66htTrSMYPG7mQgzsw;_dc_test=1;~oref=https%3A%2F%2Fwww.naukri.com%2Fmyapply%2FsaveApply%3FstrJobsarr%3D%5B031025019843%5D%26applytype%3Dsingle%26resId%3D163401705%26ApplyMode%3D1%26id%3D174036657%26src%3Dh%26logstr%3D----F-0-1--------F-0-1---%26applySrc%3D----F-0-1---%26multiApplyResp%3D%257B%2522031025019843%2522%253A200%257D%26jobTitle%3DPython%2520Developer?,,False
debug_submit_fail_20251005_134047.html,True,6,button: | button:Save | button:Apply,.overlay,https://14155760.fls.doubleclick.net/activityi;src=14155760;type=india002;cat=india0;ord=8422040689481;npa=0;auiddc=354166208.1759651002;uaa=x86;uab=64;uafvl=Chromium%3B140.0.7339.186%7CNot%253DA%253FBrand%3B24.0.0.0%7CMicrosoft%2520Edge%3B140.0.3485.81;uamb=0;uam=;uap=Windows;uapv=19.0.0;uaw=0;pscdl=noapi;frm=0;_tu=KFA;gtm=45fe5a11v9176454491z86678154za200zb6678154zd6678154xea;gcd=13l3l3l3l1l1;dma=0;dc_fmt=2;tag_exp=101509157~103116026~103200004~103233427~104527907~104528500~104684208~104684211~104948813~115480709~115834636~115834638~115868795~115868797;epver=2;dc_random=jb7smn2z9t-QqU8o9ZwGSA9zESz42DIYxg;_dc_test=1;~oref=https%3A%2F%2Fwww.naukri.com%2Fjob-listings-python-developer-pan-india-a-infosys-hyderabad-chennai-bengaluru-5-to-9-years-300925028098?,div:Unable to process this request.,True
debug_submit_fail_20251005_134412.html,True,6,button: | button:Save | button:Apply,.overlay,https://14155760.fls.doubleclick.net/activityi;src=14155760;type=india002;cat=india0;ord=3948742265170;npa=0;auiddc=354166208.1759651002;uaa=x86;uab=64;uafvl=Chromium%3B140.0.7339.186%7CNot%253DA%253FBrand%3B24.0.0.0%7CMicrosoft%2520Edge%3B140.0.3485.81;uamb=0;uam=;uap=Windows;uapv=19.0.0;uaw=0;pscdl=noapi;frm=0;_tu=KFA;gtm=45fe5a11v9176454491z86678154za200zb6678154zd6678154xea;gcd=13l3l3l3l1l1;dma=0;dc_fmt=2;tag_exp=101509157~103116026~103200004~103233427~104527906~104528500~104684208~104684211~104948813~115480709~115834636~115834638~115868795~115868797;epver=2;dc_random=T0hNRsIDAZHXw5krYundmEJlfarQJYFzuA;_dc_test=1;~oref=https%3A%2F%2Fwww.naukri.com%2Fjob-listings-python-developer-hcltech-vijayawada-chennai-bengaluru-4-to-9-years-250925014135?,div:Unable to process this request.,True
debug_submit_fail_20251005_134734.html,True,5,button: | button:Save | button:Apply,,https://14155760.fls.doubleclick.net/activityi;src=14155760;type=india002;cat=india0;ord=1331045464207;npa=0;auiddc=354166208.1759651002;uaa=x86;uab=64;uafvl=Chromium%3B140.0.7339.186%7CNot%253DA%253FBrand%3B24.0.0.0%7CMicrosoft%2520Edge%3B140.0.3485.81;uamb=0;uam=;uap=Windows;uapv=19.0.0;uaw=0;pscdl=noapi;frm=0;_tu=KFA;gtm=45fe5a11v9176454491z86678154za200zb6678154zd6678154xea;gcd=13l3l3l3l1l1;dma=0;dc_fmt=2;tag_exp=101509157~103116026~103200004~103233427~104527907~104528501~104684208~104684211~104948813~115480709~115616985~115834636~115834638~115868795~115868797;epver=2;dc_random=0R6R7Avw3JXRGevZx3ZpAKuB-t073BbDiA;_dc_test=1;~oref=https%3A%2F%2Fwww.naukri.com%2Fjob-listings-python-developer-immediate-joiners-aiml-genai-agenticai-aziro-pune-chennai-bengaluru-4-to-9-years-011025010285?,div:Unable to process this request.,True
debug_submit_fail_20251005_135103.html,True,8,button: | button:Save | button:Apply,.overlay,https://14155760.fls.doubleclick.net/activityi;src=14155760;type=india002;cat=india0;ord=2510543340169;npa=0;auiddc=354166208.1759651002;uaa=x86;uab=64;uafvl=Chromium%3B140.0.7339.186%7CNot%253DA%253FBrand%3B24.0.0.0%7CMicrosoft%2520Edge%3B140.0.3485.81;uamb=0;uam=;uap=Windows;uapv=19.0.0;uaw=0;pscdl=noapi;frm=0;_tu=KFA;gtm=45fe5a11v9176454491z86678154za200zb6678154zd6678154xea;gcd=13l3l3l3l1l1;dma=0;dc_fmt=2;tag_exp=101509157~103116026~103200004~103233427~104527906~104528500~104684208~104684211~104948813~115480710~115616986~115834636~115834638~115868795~115868797;epver=2;dc_random=fhZjzIWqM-IEc3klvsIfLho06R5K1z2Hrg;_dc_test=1;~oref=https%3A%2F%2Fwww.naukri.com%2Fjob-listings-python-developer-exotel-bengaluru-2-to-7-years-290925016791?,div:Unable to process this request.,True
debug_submit_fail_20251005_135434.html,True,8,button: | button:Save | button:Apply,,https://14155760.fls.doubleclick.net/activityi;src=14155760;type=india002;cat=india0;ord=338241128502;npa=0;auiddc=354166208.1759651002;uaa=x86;uab=64;uafvl=Chromium%3B140.0.7339.186%7CNot%253DA%253FBrand%3B24.0.0.0%7CMicrosoft%2520Edge%3B140.0.3485.81;uamb=0;uam=;uap=Windows;uapv=19.0.0;uaw=0;pscdl=noapi;frm=0;_tu=KFA;gtm=45fe5a11v9176454491z86678154za200zb6678154zd6678154xea;gcd=13l3l3l3l1l1;dma=0;dc_fmt=2;tag_exp=101509157~103116026~103200004~103233427~104527906~104528500~104684208~104684211~104948813~115480710~115834636~115834638~115868795~115868797;epver=2;dc_random=Sl7ah0iIHV6dMVkWbIhY2lG7T9qrGyVCfg;_dc_test=1;~oref=https%3A%2F%2Fwww.naukri.com%2Fjob-listings-python-developer-venpa-staffing-hyderabad-chennai-bengaluru-4-to-9-years-200925012704?,div:Unable to process this request.,True
debug_submit_fail_20251005_135800.html,True,5,button: | button:Save | button:Apply,,https://14155760.fls.doubleclick.net/activityi;src=14155760;type=india002;cat=india0;ord=7798221721976;npa=0;auiddc=354166208.1759651002;uaa=x86;uab=64;uafvl=Chromium%3B140.0.7339.186%7CNot%253DA%253FBrand%3B24.0.0.0%7CMicrosoft%2520Edge%3B140.0.3485.81;uamb=0;uam=;uap=Windows;uapv=19.0.0;uaw=0;pscdl=noapi;frm=0;_tu=KFA;gtm=45fe5a11v9176454491z86678154za200zb6678154zd6678154xea;gcd=13l3l3l3l1l1;dma=0;dc_fmt=2;tag_exp=101509157~103116026~103200004~103233427~104527906~104528501~104684208~104684211~104948813~115480710~115616986~115834636~115834638~115868795~115868797;epver=2;dc_random=1Ud-lBpKnELRedW6UrXT3rhYWqAsXnHcRg;_dc_test=1;~oref=https%3A%2F%2Fwww.naukri.com%2Fjob-listings-python-developer-weekend-drive-27th-sep-25-brillio-bengaluru-3-to-5-years-220925008253?,div:Unable to process this request.,True
debug_submit_fail_20251005_140134.html,True,5,button: | button:Save | button:Apply,,https://14155760.fls.doubleclick.net/activityi;src=14155760;type=india002;cat=india0;ord=5733622121526;npa=0;auiddc=354166208.1759651002;uaa=x86;uab=64;uafvl=Chromium%3B140.0.7339.186%7CNot%253DA%253FBrand%3B24.0.0.0%7CMicrosoft%2520Edge%3B140.0.3485.81;uamb=0;uam=;uap=Windows;uapv=19.0.0;uaw=0;pscdl=noapi;frm=0;_tu=KFA;gtm=45fe5a11v9176454491z86678154za200zb6678154zd6678154xea;gcd=13l3l3l3l1l1;dma=0;dc_fmt=2;tag_exp=101509157~103116026~103200004~103233427~104527906~104528500~104684208~104684211~104948813~105391252~115480709~115834636~115834638~115868795~115868797;epver=2;dc_random=xKlKbrtN5CWj9slFJ4wJ6ikCYx9B-LDaew;_dc_test=1;~oref=https%3A%2F%2Fwww.naukri.com%2Fjob-listings-python-developer-resorcsync-edge-india-new-delhi-bengaluru-3-to-6-years-260925011782?,div:Unable to process this request.,True
